LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
0.002237136,0.007272727,0,0,0.006396588,0.004987531,0,0.003895184,0.043964337,0.026781444,0.000101096,0.003339518,0.006989693,0.09,0.000101097,0.00347018,0.009268454,0.005719557,0.014619883,0.02919708,0.003777972,0
0.011185682,0.043636364,0,0.01744186,0.038379531,0.037406484,0.054878049,0.03009915,0.142493594,0.065542802,0.001962303,0.027458256,0.041582751,0.04,0.001962303,0.027526042,0.048659384,0.037638376,0.057504873,0.053527981,0.02818948,0
0.004474273,0,0,0,0,0,0,0.003541076,0.099055776,0.006767097,1.46E-05,0.001855288,0.004383367,0.35,1.46E-05,0.00197803,0.005627276,0.003690037,0.014619883,0.01216545,0.003777972,1
0.035794183,0,0,0,0,0,0,0.018413598,0.29585103,0.04057867,0.001562222,0.035250464,0.053311219,0.06,0.001562223,0.03538831,0.065541212,0.046494465,0.068226121,0.02919708,0.02005231,1
0,0.007272727,0,0,0.006396588,0.002493766,0.012195122,0.003186969,0.025132507,0.018436155,2.74E-05,0.00148423,0.003080204,0.13,2.74E-05,0.001366227,0.002979146,0.003136531,0.006822612,0.02919708,0.003196745,0
0.017897092,0.004848485,0,0,0.004264392,0.004987531,0,0.01203966,0.059408895,0.077116212,0.001133174,0.013358071,0.022272243,0.03,0.001133174,0.013504928,0.026481298,0.019926199,0.030214425,0.060827251,0.011915141,0
0.002237136,0.007272727,0,0,0.006396588,0.004987531,0.018292683,0.001770538,0.030327495,0.01384505,1.86E-05,0.001113173,0.002961734,0.17,1.86E-05,0.001236964,0.002979146,0.00295203,0.006822612,0.02189781,0.002034292,0
0.026845638,0.029090909,0,0.01744186,0.025586354,0.014962594,0.054878049,0.038951841,0.080118642,0.128240077,0.00422374,0.030426716,0.047980097,0.02,0.00422374,0.030280638,0.054617676,0.044280443,0.038986355,0.063260341,0.037779715,0
0.026845638,0.014545455,0,0.026162791,0.012793177,0.014962594,0.030487805,0.019121813,0.086875636,0.083692013,0.001950879,0.021521336,0.035185405,0.03,0.001950877,0.021428798,0.039721946,0.032656827,0.035087719,0.051094891,0.022377216,0
0.006711409,0.021818182,0,0.055232558,0.019189765,0.012468828,0.030487805,0.011331445,0.051932325,0.036441894,0.000220998,0.005565863,0.010780713,0.07,0.000221,0.005576606,0.0122476,0.0099631,0.016569201,0.03406326,0.015983726,0
0.017897092,0.021818182,0,0.002906977,0.019189765,0.019950125,0.036585366,0.015226629,0.064972446,0.069273075,0.000999457,0.013358071,0.022627651,0.03,0.000999459,0.013265328,0.027805362,0.019741697,0.028265107,0.0486618,0.015402499,0
0.049217002,0.043636364,0,0,0.038379531,0.034912718,0.042682927,0.031515581,0.09363263,0.082711621,0.002054203,0.023005566,0.038739486,0.03,0.002054204,0.02282867,0.040714995,0.037638376,0.031189084,0.04379562,0.032548678,0
0.004474273,0.004848485,0.018518519,0,0.004264392,0.004987531,0,0.003895184,0.047597318,0.010234338,1.60E-05,0.00148423,0.003435612,0.23,1.60E-05,0.001434879,0.003641178,0.003321033,0.00877193,0.01703163,0.004649811,0
0.109619687,0.012121212,0,0.01744186,0.010660981,0.009975062,0.018292683,0.048866856,0.37784759,0.081659493,0.008080069,0.090909091,0.123089681,0.03,0.00808007,0.090951631,0.146971202,0.109778598,0.114035088,0.04379562,0.05637896,1
0.002237136,0,0,0,0,0,0,0.001770538,0.034609849,0.007962697,7.05E-06,0.000742115,0.002250918,0.3,7.05E-06,0.000813057,0.00264813,0.00202952,0.005847953,0.01216545,0.002034292,1
0.006711409,0.008484848,0,0,0.008528785,0.004987531,0,0.008852691,0.065411211,0.038593974,0.000312928,0.00742115,0.012913162,0.06,0.000312929,0.007447391,0.013902681,0.012361624,0.025341131,0.0486618,0.008427783,0
0.004474273,0.004848485,0,0,0.004264392,0.002493766,0.012195122,0.003186969,0.043297413,0.015351506,3.27E-05,0.001855288,0.004146428,0.16,3.27E-05,0.001958362,0.004634227,0.003874539,0.011695906,0.02676399,0.003487358,0
0,0.003636364,0,0,0.004264392,0.002493766,0,0.006373938,0.04680754,0.021520803,6.95E-05,0.00296846,0.00568653,0.11,6.95E-05,0.002968714,0.005958292,0.005535055,0.015594542,0.03892944,0.005521651,0
0.002237136,0.002424242,0.018518519,0,0.002132196,0.002493766,0,0.003186969,0.024500684,0.014347202,1.62E-05,0.001113173,0.002606326,0.17,1.62E-05,0.001036081,0.002979146,0.002398524,0.005847953,0.01946472,0.003777972,0
0.004474273,0,0,0,0,0,0,0.001770538,0.04349047,0.017216643,4.13E-05,0.002226345,0.004975714,0.14,4.13E-05,0.002206868,0.00529626,0.004797048,0.009746589,0.02189781,0.002324906,0
